person,personLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q151315,محمد فايز,محمد فايز (لاعب كرة قدم إماراتي),Mohammed Fayez,http://commons.wikimedia.org/wiki/Special:FilePath/Isma%20vs%20Al%20Ain.jpg
http://www.wikidata.org/entity/Q151509,عبد العزيز آل سعود,عبد العزيز آل سعود,Ibn Saud,http://commons.wikimedia.org/wiki/Special:FilePath/Ibn%20Saud.png
http://www.wikidata.org/entity/Q153284,أحمد بن سعيد آل مكتوم,أحمد بن سعيد آل مكتوم,Ahmed bin Saeed Al Maktoum,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmad%20bin%20Said%20Al%20Maktouum.jpg
http://www.wikidata.org/entity/Q167846,زايد بن سلطان آل نهيان,زايد بن سلطان آل نهيان,Zayed bin Sultan Al Nahyan,http://commons.wikimedia.org/wiki/Special:FilePath/Abdula%20latif%20Galadari%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q173646,منصور عجة,منصور عجة,Mansour Ojjeh,
http://www.wikidata.org/entity/Q175196,محمد مسعد,محمد مسعد,Mohammad Massad,
http://www.wikidata.org/entity/Q183187,فهد بن عبد العزيز آل سعود,فهد بن عبد العزيز آل سعود,Fahd of Saudi Arabia,http://commons.wikimedia.org/wiki/Special:FilePath/Fahd%20of%20Saudi%20Arabia%20Portrait.jpg
http://www.wikidata.org/entity/Q186364,بيليسوما شوغي,بيليسوما شوغي,Bilisuma Shugi,
http://www.wikidata.org/entity/Q192778,رفيق الحريري,رفيق الحريري,Rafic Hariri,http://commons.wikimedia.org/wiki/Special:FilePath/Rafic%20Hariri%20in%202001.jpg
http://www.wikidata.org/entity/Q371263,خالد الفيصل,خالد الفيصل بن عبد العزيز آل سعود,Khalid Al-Faisal,http://commons.wikimedia.org/wiki/Special:FilePath/Khalid%20al%20Faisal.jpg
http://www.wikidata.org/entity/Q373425,فيصل بن فهد بن عبد العزيز آل سعود,فيصل بن فهد بن عبد العزيز آل سعود,Faisal bin Fahd Al Saud (Saudi prince),http://commons.wikimedia.org/wiki/Special:FilePath/Faisal%20bin%20Fahd%20in%201978.jpg
http://www.wikidata.org/entity/Q376804,علي بن خضير الخضير,علي الخضير,Ali al-Khudair,
http://www.wikidata.org/entity/Q379097,مبارك حسن شامي,مبارك حسن شامي,Mubarak Hassan Shami,
http://www.wikidata.org/entity/Q379946,سلطان بن سلمان بن عبد العزيز آل سعود,سلطان بن سلمان بن عبد العزيز آل سعود,Sultan bin Salman Al Saud,http://commons.wikimedia.org/wiki/Special:FilePath/Sultan%20Salman%20Al-Saud.jpg
http://www.wikidata.org/entity/Q381574,أكرم عجة,أكرم عجة,Akram Ojjeh,
http://www.wikidata.org/entity/Q381686,سعيد العويران,سعيد العويران,Saeed Al-Owairan,
http://www.wikidata.org/entity/Q381957,نواف التمياط,نواف التمياط,Nawaf Al-Temyat,http://commons.wikimedia.org/wiki/Special:FilePath/Nawaf%20Al-Temyat%20in%20celebration%202.jpg
http://www.wikidata.org/entity/Q381962,محمد نور,محمد نور (لاعب كرة قدم سعودي),Mohammed Noor,http://commons.wikimedia.org/wiki/Special:FilePath/Mohammed%20Noor.jpg
http://www.wikidata.org/entity/Q385806,محمد العمودي,محمد العمودي,Mohammed Hussein Al Amoudi,
http://www.wikidata.org/entity/Q653287,حمزة الغامدي,حمزة الغامدي,Hamza al-Ghamdi,http://commons.wikimedia.org/wiki/Special:FilePath/Hamza%20al-Ghamdi.jpg
http://www.wikidata.org/entity/Q654614,يحيى قاحص,يحيى قاحص,Yahya Al-Ghahes,
http://www.wikidata.org/entity/Q656965,منصور الثقفي,منصور الثقفي,Mansour Al-Thagafi,
http://www.wikidata.org/entity/Q657337,المصطفى رياض,المصطفى رياض,Al Mustafa Riyadh,
http://www.wikidata.org/entity/Q668684,لمياء المغيري,لمياء المغيري,Lamya,
http://www.wikidata.org/entity/Q681606,محمد غلام,محمد غلام,Mohammed Gholam,
http://www.wikidata.org/entity/Q684263,خليل غانم,خليل غانم,Khalil Ghanim,
http://www.wikidata.org/entity/Q690510,عبده عطيف,عبده عطيف,Abdoh Otaif,
http://www.wikidata.org/entity/Q1282995,نجلاء محمد القاسمي,نجلاء محمد القاسمي,Sheikha Najla Al Qasimi,
http://www.wikidata.org/entity/Q1316094,James Kwalia,,James Kwalia,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Kwalia%20C%27Kurui.jpg
http://www.wikidata.org/entity/Q1317911,نايف هزازي,نايف هزازي,"Naif Hazazi (footballer, born 1988)",http://commons.wikimedia.org/wiki/Special:FilePath/Naif%20Hazazi%20wah%281%29.png
http://www.wikidata.org/entity/Q1319659,محمد بن سعود بن محمد بن مقرن,محمد بن سعود بن محمد بن مقرن,Muhammad bin Saud Al Muqrin,
http://www.wikidata.org/entity/Q1322010,ناصر بن مرشد اليعربي,ناصر بن مرشد اليعربي,Nasir bin Murshid,
http://www.wikidata.org/entity/Q1342035,محمد عيد,محمد عيد,Mohamed Eid,
http://www.wikidata.org/entity/Q1360669,سمير جودت,سمير جودت,Sameer Jawdat,
