person,personLabel,arTitle,image
http://www.wikidata.org/entity/Q444162,فاطمة الحمروش,فاطمة الحمروش,http://commons.wikimedia.org/wiki/Special:FilePath/Dr.%20Fatima%20Hamroush.jpg
http://www.wikidata.org/entity/Q643757,يونس الحسين الشيباني,يونس الحسين الشيباني,http://commons.wikimedia.org/wiki/Special:FilePath/Shibani%20Youns.jpg
http://www.wikidata.org/entity/Q685915,سمير عبود,سمير عبود,http://commons.wikimedia.org/wiki/Special:FilePath/Samir%20Aboud%20BenTager%202007.jpg
http://www.wikidata.org/entity/Q746931,يوسف الغول,يوسف الغول,
http://www.wikidata.org/entity/Q762146,أيمن الأعتر,أيمن الأعتر,http://commons.wikimedia.org/wiki/Special:FilePath/Ayman%20Alatar%20-%20%D8%A3%D9%8A%D9%85%D9%86%20%D8%A7%D9%84%D8%A3%D8%B9%D8%AA%D8%B1.jpg
http://www.wikidata.org/entity/Q775078,محمد زعبية,محمد زعبية,http://commons.wikimedia.org/wiki/Special:FilePath/Zabeya.jpg
http://www.wikidata.org/entity/Q1262107,جهاد المنتصر,جهاد المنتصر,
http://www.wikidata.org/entity/Q258541,حميد الشاعري,حميد الشاعري,http://commons.wikimedia.org/wiki/Special:FilePath/Hameedelshaeri.jpg
http://www.wikidata.org/entity/Q310406,الساعدي القذافي,الساعدي القذافي,
http://www.wikidata.org/entity/Q1278298,جمال محمد بيندي,جمال محمد بيندي,
http://www.wikidata.org/entity/Q1373739,طارق التائب,طارق التائب,
http://www.wikidata.org/entity/Q2267599,مفتاح غزالة,مفتاح غزالة,http://commons.wikimedia.org/wiki/Special:FilePath/Gazalla%20Meftah%20BenTaher%202006.jpg
http://www.wikidata.org/entity/Q2409492,أحمد سعد عثمان,أحمد سعد عثمان,http://commons.wikimedia.org/wiki/Special:FilePath/Libye%20-%20Alg%C3%A9rie2.jpg
http://www.wikidata.org/entity/Q2635491,أيمن زايد,أيمن زايد,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89amon%20Zayed.jpg
http://www.wikidata.org/entity/Q2701242,أحمد الزوي,أحمد الزوي,
http://www.wikidata.org/entity/Q2820934,عبد الله شريف,عبد الله شريف,
http://www.wikidata.org/entity/Q2821433,عبد العزيز بالريش,عبد العزيز بالريش,
http://www.wikidata.org/entity/Q2827552,أحمد فرج المصلي,أحمد فرج المصلي,
http://www.wikidata.org/entity/Q3052110,نادر الترهوني,نادر الترهوني,
http://www.wikidata.org/entity/Q3067657,فوزي العيساوي,فوزي العيساوي,
http://www.wikidata.org/entity/Q3075609,محمد الصناني,محمد الصناني,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Alsnany.jpg
http://www.wikidata.org/entity/Q3085659,إيهاب البوسيفي,إيهاب البوسيفي,http://commons.wikimedia.org/wiki/Special:FilePath/Ehab%20Busefi.jpg
http://www.wikidata.org/entity/Q3089153,عمر داوود,عمر داوود,
http://www.wikidata.org/entity/Q3108564,ناجي سعيد الشوشان,ناجي سعيد الشوشان,http://commons.wikimedia.org/wiki/Special:FilePath/Shushan%20Naji.jpg
http://www.wikidata.org/entity/Q720716,حسني عبد ربه,حسني عبد ربه,
http://www.wikidata.org/entity/Q721206,شريف إكرامي,شريف إكرامي,http://commons.wikimedia.org/wiki/Special:FilePath/Sherif%20Ekramy%20006.jpg
http://www.wikidata.org/entity/Q722524,السيد حمدي,السيد حمدي,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A7%D9%84%D8%B3%D9%8A%D8%AF%20%D8%AD%D9%85%D8%AF%D9%8A.jpg
http://www.wikidata.org/entity/Q729896,مروان محسن,مروان محسن,http://commons.wikimedia.org/wiki/Special:FilePath/Marwan%20Mohsen.jpg
http://www.wikidata.org/entity/Q733393,يوسف إدريس,يوسف إدريس,http://commons.wikimedia.org/wiki/Special:FilePath/Yusuf%20Idris.jpg
http://www.wikidata.org/entity/Q733919,صوفي أبو طالب,صوفي أبو طالب,http://commons.wikimedia.org/wiki/Special:FilePath/Sufi%20Abu%20Taleb.gif
http://www.wikidata.org/entity/Q733972,علي ماهر باشا,علي ماهر باشا,http://commons.wikimedia.org/wiki/Special:FilePath/Ali%20Maher%20Pasha.jpg
