person,personLabel,arTitle,image
http://www.wikidata.org/entity/Q1257,بطرس بطرس غالي,بطرس بطرس غالي,http://commons.wikimedia.org/wiki/Special:FilePath/Boutros%20Boutros%20Ghali%20%281993%29.jpg
http://www.wikidata.org/entity/Q4631,محمد مرسي,محمد مرسي,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Morsi%20official%20portrait.jpg
http://www.wikidata.org/entity/Q7176,نجيب محفوظ,نجيب محفوظ,http://commons.wikimedia.org/wiki/Special:FilePath/Necip%20Mahfuz.jpg
http://www.wikidata.org/entity/Q133308,محمد البرادعي,محمد البرادعي,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20ElBaradei.jpg
http://www.wikidata.org/entity/Q140575,زاهي حواس,زاهي حواس,http://commons.wikimedia.org/wiki/Special:FilePath/Zahi%20Hawass.jpg
http://www.wikidata.org/entity/Q62219,حسين الشافعي,حسين الشافعي,http://commons.wikimedia.org/wiki/Special:FilePath/Husain%20Alshafie.jpg
http://www.wikidata.org/entity/Q76866,محمد زيدان,محمد زيدان,http://commons.wikimedia.org/wiki/Special:FilePath/Mohammed%20zidan.jpg
http://www.wikidata.org/entity/Q96316,ميدو حمادة,ميدو حمادة,
http://www.wikidata.org/entity/Q104392,محمد نجيب,محمد نجيب,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Naguib1952.jpg
http://www.wikidata.org/entity/Q376678,يحيى حقي,يحيى حقي,
http://www.wikidata.org/entity/Q381113,عمرو موسى,عمرو موسى,http://commons.wikimedia.org/wiki/Special:FilePath/Amr%20Moussa%20World%20Economic%20Forum%202013.jpg
http://www.wikidata.org/entity/Q381486,نور الشريف,نور الشريف,http://commons.wikimedia.org/wiki/Special:FilePath/Nour%20El-Sherif.jpg
http://www.wikidata.org/entity/Q381863,جمال مبارك,جمال مبارك,http://commons.wikimedia.org/wiki/Special:FilePath/Gamal%20Mubarak.jpg
http://www.wikidata.org/entity/Q12984,ستيفان الشعراوي,ستيفان الشعراوي,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Stephan%20El%20Shaarawy%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q27883,زكي باشا,زكي باشا,http://commons.wikimedia.org/wiki/Special:FilePath/Zeki%20Pasha.jpg
http://www.wikidata.org/entity/Q34105,حسني مبارك,حسني مبارك,http://commons.wikimedia.org/wiki/Special:FilePath/Hosni%20Mubarak%20ritratto.jpg
http://www.wikidata.org/entity/Q112327,ياسر رضوان,ياسر رضوان,
http://www.wikidata.org/entity/Q115790,شريف أشرف,شريف أشرف,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%B4%D8%B1%D9%8A%D9%81%20%D8%A3%D8%B4%D8%B1%D9%81.png
http://www.wikidata.org/entity/Q126785,إبراهيم الزيات,إبراهيم الزيات,
http://www.wikidata.org/entity/Q144615,زكريا محيي الدين,زكريا محيي الدين,http://commons.wikimedia.org/wiki/Special:FilePath/Zakaria%20Mohiedin%20as%20Interior%20Minister.jpg
http://www.wikidata.org/entity/Q149455,خالد علي,خالد علي,http://commons.wikimedia.org/wiki/Special:FilePath/Khaled%20Ali.jpg
http://www.wikidata.org/entity/Q258541,حميد الشاعري,حميد الشاعري,http://commons.wikimedia.org/wiki/Special:FilePath/Hameedelshaeri.jpg
http://www.wikidata.org/entity/Q310406,الساعدي القذافي,الساعدي القذافي,
http://www.wikidata.org/entity/Q57680,عصام شرف,عصام شرف,http://commons.wikimedia.org/wiki/Special:FilePath/Defense.gov%20News%20Photo%20110323-D-XH843-004%20-%20Secretary%20of%20Defense%20Robert%20M.%20Gates%20meets%20with%20Egyptian%20Prime%20Minister%20Essam%20Sharaf%20in%20Cairo%2C%20Egypt%2C%20on%20March%2023%2C%202011%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q57728,هشام قنديل,هشام قنديل,http://commons.wikimedia.org/wiki/Special:FilePath/Hesham%20Mohamed%20Qandil%20World%20Economic%20Forum%202013%20crop.jpg
http://www.wikidata.org/entity/Q58108,أحمد أبو الغيط,أحمد أبو الغيط,http://commons.wikimedia.org/wiki/Special:FilePath/Arab%20League%20Secretary-General%20Ahmed%20Aboul%20Gheit%20in%20July%202023%20-%2053057455593%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q365919,أحمد عرابي,أحمد عرابي,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Orabi%201882.png
http://www.wikidata.org/entity/Q365919,أحمد عرابي,أحمد عرابي,http://commons.wikimedia.org/wiki/Special:FilePath/Arabi%20%281906%29%20-%20TIMEA.jpg
http://www.wikidata.org/entity/Q365922,كمال الجنزوري,كمال الجنزوري,http://commons.wikimedia.org/wiki/Special:FilePath/Kamal%20Ganzouri.jpg
http://www.wikidata.org/entity/Q365965,عمرو زكي,عمرو زكي,http://commons.wikimedia.org/wiki/Special:FilePath/Amr%20Zaki%20-%20Wigan.jpg
http://www.wikidata.org/entity/Q366744,محمد سعيد باشا,محمد سعيد باشا,http://commons.wikimedia.org/wiki/Special:FilePath/Muhammad%20Said%20Pascha%201855%20Nadar%20%28edited%29.JPG
http://www.wikidata.org/entity/Q369971,محمد سيد طنطاوي,محمد سيد طنطاوي,
http://www.wikidata.org/entity/Q372508,وجيه الكاشف,وجيه الكاشف,
http://www.wikidata.org/entity/Q375518,حسام غالي,حسام غالي,http://commons.wikimedia.org/wiki/Special:FilePath/Hossam%20Ghaly.%20player.jpg
http://www.wikidata.org/entity/Q375518,حسام غالي,حسام غالي,http://commons.wikimedia.org/wiki/Special:FilePath/Hossam%20Ghaly.%20player.jpg
http://www.wikidata.org/entity/Q375590,رامي مالك,رامي مالك,http://commons.wikimedia.org/wiki/Special:FilePath/Rami%20Malek%20in%202015%20%282%29%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q375623,محمد إبراهيم,محمد إبراهيم (لاعب كرة قدم),
http://www.wikidata.org/entity/Q42013,محمد أنور السادات,محمد أنور السادات,http://commons.wikimedia.org/wiki/Special:FilePath/Sadat%201.jpg
http://www.wikidata.org/entity/Q42231,أحمد حسن,أحمد حسن,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A3%D8%AD%D9%85%D8%AF%20%D8%AD%D8%B3%D9%86%20%D9%84%D8%A7%D8%B9%D8%A8%20%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AE%D8%A8%20%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%20%28cropped%29.png
http://www.wikidata.org/entity/Q45917,يبليل,محمد حسين طنطاوي,http://commons.wikimedia.org/wiki/Special:FilePath/Field%20Marshal%20Mohamed%20Hussein%20Tantawi%202002.jpg
http://www.wikidata.org/entity/Q48559,حامد عبد الصمد,حامد عبد الصمد,http://commons.wikimedia.org/wiki/Special:FilePath/Hamed%20Abdel-Samad%20%282013%29.jpg
http://www.wikidata.org/entity/Q444162,فاطمة الحمروش,فاطمة الحمروش,http://commons.wikimedia.org/wiki/Special:FilePath/Dr.%20Fatima%20Hamroush.jpg
http://www.wikidata.org/entity/Q643757,يونس الحسين الشيباني,يونس الحسين الشيباني,http://commons.wikimedia.org/wiki/Special:FilePath/Shibani%20Youns.jpg
http://www.wikidata.org/entity/Q685915,سمير عبود,سمير عبود,http://commons.wikimedia.org/wiki/Special:FilePath/Samir%20Aboud%20BenTager%202007.jpg
http://www.wikidata.org/entity/Q746931,يوسف الغول,يوسف الغول,
http://www.wikidata.org/entity/Q762146,أيمن الأعتر,أيمن الأعتر,http://commons.wikimedia.org/wiki/Special:FilePath/Ayman%20Alatar%20-%20%D8%A3%D9%8A%D9%85%D9%86%20%D8%A7%D9%84%D8%A3%D8%B9%D8%AA%D8%B1.jpg
http://www.wikidata.org/entity/Q775078,محمد زعبية,محمد زعبية,http://commons.wikimedia.org/wiki/Special:FilePath/Zabeya.jpg
http://www.wikidata.org/entity/Q1262107,جهاد المنتصر,جهاد المنتصر,
http://www.wikidata.org/entity/Q307751,عبد الرحيم شحاتة,عبد الرحيم شحاتة,
http://www.wikidata.org/entity/Q307784,محمد عبد الخالق حسونة,محمد عبد الخالق حسونة,
http://www.wikidata.org/entity/Q307786,عبد الحليم حافظ,عبد الحليم حافظ,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20Halim%20Hafez.jpg
http://www.wikidata.org/entity/Q307786,عبد الحليم حافظ,عبد الحليم حافظ,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20Halim%20Hafez.jpg
http://www.wikidata.org/entity/Q307800,عبد المنعم أبو الفتوح,عبد المنعم أبو الفتوح,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20Moneim%20Aboul%20Fotouh.jpg
http://www.wikidata.org/entity/Q307814,عبد الرحمن عزام,عبد الرحمن عزام,
http://www.wikidata.org/entity/Q307831,عبد الظاهر السقا,عبد الظاهر السقا,
http://www.wikidata.org/entity/Q307871,عبد الفتاح السيسي,عبد الفتاح السيسي,http://commons.wikimedia.org/wiki/Special:FilePath/AbdelFattah%20Elsisi%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q334134,سمير أمين,سمير أمين,http://commons.wikimedia.org/wiki/Special:FilePath/Samir%20Amin%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q334703,أبو بكر خيرت,أبو بكر خيرت,
http://www.wikidata.org/entity/Q334821,أبو حمزة المهاجر,أبو حمزة المهاجر,
http://www.wikidata.org/entity/Q338708,أحمد الطيب,أحمد الطيب,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20el-Tayeb%201.jpg
http://www.wikidata.org/entity/Q311789,إبراهيم محمد علي باشا,إبراهيم محمد علي باشا,http://commons.wikimedia.org/wiki/Special:FilePath/Ibrahim%20Pasha%2C%20Larivi%C3%A8re.jpg
http://www.wikidata.org/entity/Q312611,يوسف شاهين,يوسف شاهين,http://commons.wikimedia.org/wiki/Special:FilePath/Youssef%20Chahine%20in%20Cairo%201986.jpg
http://www.wikidata.org/entity/Q330939,فؤاد المهندس,فؤاد المهندس,http://commons.wikimedia.org/wiki/Special:FilePath/Fouad%20el-Mohandes.jpg
http://www.wikidata.org/entity/Q330939,فؤاد المهندس,فؤاد المهندس,http://commons.wikimedia.org/wiki/Special:FilePath/Fouad%20el-Mohandes.jpg
http://www.wikidata.org/entity/Q312823,وائل غنيم,وائل غنيم,http://commons.wikimedia.org/wiki/Special:FilePath/Wael%20ghonim.jpg
http://www.wikidata.org/entity/Q317257,عبد الحميد بدوي,عبد الحميد بدوي,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20Hamid%20Badawi%201.jpg
