person,personLabel,arTitle,enTitle,image,source
http://www.wikidata.org/entity/Q175196,محمد مسعد,محمد مسعد,Mohammad Massad,,GCC_public_figures
http://www.wikidata.org/entity/Q183187,فهد بن عبد العزيز آل سعود,فهد بن عبد العزيز آل سعود,Fahd of Saudi Arabia,http://commons.wikimedia.org/wiki/Special:FilePath/Fahd%20of%20Saudi%20Arabia%20Portrait.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q192778,رفيق الحريري,رفيق الحريري,Rafic Hariri,http://commons.wikimedia.org/wiki/Special:FilePath/Rafic%20Hariri%20in%202001.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q203776,محمد حبيل,محمد حبيل,Mohamed Hubail,,GCC_public_figures
http://www.wikidata.org/entity/Q208301,خالد بن عبد العزيز آل سعود,خالد بن عبد العزيز آل سعود,Khalid of Saudi Arabia,http://commons.wikimedia.org/wiki/Special:FilePath/Khalid%20II%20of%20Saudi%20Arabia%20portrait.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q215477,مكتوم بن راشد آل مكتوم,مكتوم بن راشد آل مكتوم,Maktoum bin Rashid Al Maktoum,http://commons.wikimedia.org/wiki/Special:FilePath/Maktoum%20bin%20Rashid%20Al%20Maktoum.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q668684,لمياء المغيري,لمياء المغيري,Lamya,,GCC_public_figures
http://www.wikidata.org/entity/Q684263,خليل غانم,خليل غانم,Khalil Ghanim,,GCC_public_figures
http://www.wikidata.org/entity/Q690510,عبده عطيف,عبده عطيف,Abdoh Otaif,,GCC_public_figures
http://www.wikidata.org/entity/Q710203,عمر الغامدي,عمر الغامدي,Omar Al-Ghamdi,,GCC_public_figures
http://www.wikidata.org/entity/Q710775,علاء حسين علي,علاء حسين علي,Alaa Hussein Ali,http://commons.wikimedia.org/wiki/Special:FilePath/Kuwaiti%20Prime%20Minister%20Alaa%20Hussein%20Ali%201990%20with%20Iraqi%20President%20Saddam%20Hussein.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q712690,طلال بن عبد العزيز آل سعود,طلال بن عبد العزيز آل سعود,Talal bin Abdulaziz Al Saud,http://commons.wikimedia.org/wiki/Special:FilePath/Talal%20bin%20Abdulaziz%20Al%20Saud.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q712839,حمدان بن راشد آل مكتوم,حمدان بن راشد آل مكتوم,Hamdan bin Rashid Al Maktoum,http://commons.wikimedia.org/wiki/Special:FilePath/Sheikh%20Hamdan%20bin%20Rashid%20Al%20Maktoum.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q725992,محمد أمين الغامدي,محمد أمين حيدر,Mohammed Ameen,,GCC_public_figures
http://www.wikidata.org/entity/Q726604,محمد خوجة,محمد خوجة (لاعب كرة قدم),Mohammad Khouja,http://commons.wikimedia.org/wiki/Special:FilePath/%D9%85%D8%AD%D9%85%D8%AF%20%D8%AE%D9%88%D8%AC%D8%A9.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q726662,نايف القاضي,نايف القاضي,Naif Al-Qadi,,GCC_public_figures
http://www.wikidata.org/entity/Q730188,حسين غلوم,حسين غلوم,Hussain Ghuloum,,GCC_public_figures
http://www.wikidata.org/entity/Q733312,راشد بن سعيد آل مكتوم,راشد بن سعيد آل مكتوم,Rashid bin Saeed Al Maktoum,http://commons.wikimedia.org/wiki/Special:FilePath/His%20Highness%20Rashid%20bin%20Saeed%20Al%20Maktoum.png,GCC_public_figures
http://www.wikidata.org/entity/Q734627,فلاج الشنار,فلاج الشنار,Fallaj Al-Shanar,,GCC_public_figures
http://www.wikidata.org/entity/Q739618,إبراهيم الدوي,إبراهيم الدوي,Ibrahim Youssef Al-Doy,,GCC_public_figures
http://www.wikidata.org/entity/Q742051,خالد بن سلطان بن عبد العزيز آل سعود,خالد بن سلطان بن عبد العزيز آل سعود,Khalid bin Sultan Al Saud,http://commons.wikimedia.org/wiki/Special:FilePath/DA-ST-92-08034-C.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q743799,عمر المهنا,عمر المهنا,Omer Al Mehannah,,GCC_public_figures
http://www.wikidata.org/entity/Q746971,جاسم مندي,جاسم مندي,Jassim Mandi,,GCC_public_figures
http://www.wikidata.org/entity/Q774227,راشد عيسى,راشد عيسى (لاعب كرة قدم),Rashed Eisa,,GCC_public_figures
http://www.wikidata.org/entity/Q778771,أحمد الطرابلسي,أحمد الطرابلسي,Ahmed Al-Tarabulsi,,GCC_public_figures
http://www.wikidata.org/entity/Q784872,خالد قهوجي,خالد قهوجي,Khaled Gahwji,,GCC_public_figures
http://www.wikidata.org/entity/Q863577,أحمد فهد الأحمد الصباح,أحمد فهد الأحمد الصباح,Ahmad Al-Fahad Al-Ahmed Al-Sabah,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Al-Fahad%20Al-Ahmed%20Al-Sabah%20in%20Kuwait%20City%20on%20December%2017%2C%202023%20%28cropped%29.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q879869,سعيد بن تيمور,سعيد بن تيمور,Said bin Taimur,http://commons.wikimedia.org/wiki/Special:FilePath/Sultan%20Wayyid%20Said%20Bin%20Taimur%20Bin%20Faisal%20arriving%20in%20Wash.%20to%20repay%20visit%20made%20by%20Edmund%20Roberts%20%281832%29%2C%20who%20was%20appointed%20by%20Pres.%20Andrew%20Jackson%20to%20negotiate%20treaties%20with%20small%20nations%20of%20LCCN2016878033%20%28cropped%29.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q2083033,ياسر المسيليم,ياسر المسيليم,Yasser Al-Mosailem,http://commons.wikimedia.org/wiki/Special:FilePath/Yasser%20Al-Mosailem%20%28cropped%29.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q2083383,سباستيان تيغالي,سباستيان تيغالي,Sebastián Tagliabúe,,GCC_public_figures
http://www.wikidata.org/entity/Q2083466,تيسير الجاسم,تيسير الجاسم,Taisir Al-Jassim,,GCC_public_figures
http://www.wikidata.org/entity/Q2083477,حسن العتيبي,حسن العتيبي,Hassan Al-Otaibi,,GCC_public_figures
http://www.wikidata.org/entity/Q2083492,ياسر الفهمي,ياسر الفهمي,Yasser Al-Fahmi,,GCC_public_figures
http://www.wikidata.org/entity/Q2083523,ناصر الشمراني,ناصر الشمراني,Nasser Al-Shamrani,,GCC_public_figures
