person,personLabel,positionLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q109570,بيتر دايموند,رئيس,بيتر دايموند,Peter Diamond,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Diamond%20%28economist%29.jpg
http://www.wikidata.org/entity/Q115701,أدولف النيل,رئيس,,Adolphe Niel,http://commons.wikimedia.org/wiki/Special:FilePath/Larivi%C3%A8re%20-%20Adolphe%20Niel%20%28d%C3%A9tail%29.jpg
http://www.wikidata.org/entity/Q116015,جيان فرانكو كاسبر,رئيس,,Gian Franco Kasper,
http://www.wikidata.org/entity/Q116253,هينري كولبي,رئيس,,Henri Colpi,
http://www.wikidata.org/entity/Q116253,هينري كولبي,رئيس,,Henri Colpi,
http://www.wikidata.org/entity/Q386438,فرانسواز جيرو,رئيس,فرانسواز جيرو,Françoise Giroud,http://commons.wikimedia.org/wiki/Special:FilePath/FrancoiseGiroud-Milan-1974.png
http://www.wikidata.org/entity/Q784043,Bruno Racine,رئيس,,Bruno Racine,http://commons.wikimedia.org/wiki/Special:FilePath/Bruno%20Racine%2020100329%20Salon%20du%20livre%20de%20Paris%201.jpg
http://www.wikidata.org/entity/Q818119,بانو جاكوت,رئيس,بانو جاكوت,Benoît Jacquot,http://commons.wikimedia.org/wiki/Special:FilePath/Beno%C3%AEt%20Jacquot%20C%C3%A9sars%202013.jpg
http://www.wikidata.org/entity/Q822671,Bernard Reynès,رئيس,,Bernard Reynès,
http://www.wikidata.org/entity/Q838985,Petar Dobrović,رئيس,,Petar Dobrović,http://commons.wikimedia.org/wiki/Special:FilePath/Petar%20Dobrovi%C4%87%2C%20Autoportret%2C%201932.jpg
http://www.wikidata.org/entity/Q838985,Petar Dobrović,رئيس,,Petar Dobrović,http://commons.wikimedia.org/wiki/Special:FilePath/Petar%20Dobrovi%C4%87%2C%20Autoportret%2C%201932.jpg
http://www.wikidata.org/entity/Q845559,Jean Mistler,رئيس,,Jean Mistler,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Mistler-1928.jpg
